,Sentence,Annotation
861,这往往会导致进程在检测到它与X服务器的连接已关闭后终止。,"这 r
往往 t
会 v
导致 v
进程 n
在 p
检测 vn
到 v
它 r
与 p
X eng
服务器 n
的 uj
连接 v
已 d
关闭 v
后 f
终止 v
。 x
"
862,她写信给他说：“你会成为一个伟大的诗人”。,"她 r
写信给 n
他 r
说 v
： x
“ x
你 r
会 v
成为 v
一个 m
伟大 a
的 uj
诗人 n
” x
。 x
"
863,公司自从 1947 年起一直生产彩票表格和彩票。,"公司 n
自从 p
  x
1947 m
  x
年 m
起 v
一直 d
生产 vn
彩票 n
表格 n
和 c
彩票 n
。 x
"
864,在第二次世界大战开始时，加拿大没有一个集中的信息服务部门来处理信息的传播。,"在 p
第二次世界大战 nz
开始 v
时 n
， x
加拿大 ns
没有 v
一个 m
集中 v
的 uj
信息 n
服务 vn
部门 n
来 v
处理 v
信息 n
的 uj
传播 vn
。 x
"
865,潘菲利宫 多利亚·潘菲利美术馆 多利亚·潘菲利别墅 The Telegraph - Who will inherit the Doria Pamphilj family's legacy?,"潘 nr
菲利 ns
宫 nr
  x
多利亚 ns
· x
潘 nr
菲利 ns
美术馆 nt
  x
多利亚 ns
· x
潘 nr
菲利 ns
别墅 n
  x
The eng
  x
Telegraph eng
  x
- x
  x
Who eng
  x
will eng
  x
inherit eng
  x
the eng
  x
Doria eng
  x
Pamphilj eng
  x
family eng
' x
s x
  x
legacy eng
? x
"
866,这个例子还展示了为什么不总是自然的有一个最大元素。,"这个 r
例子 n
还 d
展示 v
了 ul
为什么 r
不 d
总是 c
自然 d
的 uj
有 v
一个 m
最大 a
元素 n
。 x
"
867,1962年，巴勒斯坦人被黎巴嫩政府一律认定为外国人，不管这些人在黎巴嫩居住了多久。,"1962 m
年 m
， x
巴勒斯坦人 nrt
被 p
黎巴嫩 nr
政府 n
一律 d
认定 v
为 p
外国人 n
， x
不管 c
这些 r
人 n
在 p
黎巴嫩 nr
居住 v
了 ul
多久 m
。 x
"
868,”对曰：“顺帝亡国之主，虽山不崩，国亦必亡。,"” x
对 p
曰 vg
： x
“ x
顺帝 nrt
亡国 n
之 u
主 b
， x
虽 c
山 n
不 d
崩 v
， x
国 n
亦 d
必亡 v
。 x
"
869,这些群岛能为半岛提供保护，但是海军拒绝去占领它们。,"这些 r
群岛 n
能 v
为 p
半岛 n
提供 v
保护 v
， x
但是 c
海军 n
拒绝 v
去 v
占领 v
它们 r
。 x
"
870,截至2011年，该起案件被列为冷案。,"截至 v
2011 m
年 m
， x
该 r
起 v
案件 n
被 p
列为 v
冷案 n
。 x
"
871,Sumatra是多语言的，有69种社区贡献的翻译。,"Sumatra eng
是 v
多 m
语言 n
的 uj
， x
有 v
69 m
种 m
社区 n
贡献 n
的 uj
翻译 v
。 x
"
872,在1093年，他可能九岁左右。,"在 p
1093 m
年 m
， x
他 r
可能 v
九岁 m
左右 m
。 x
"
873,许多宪法支持环保的基本权利，许多国际条约承认在健康环境居住的权利。,"许多 m
宪法 n
支持 v
环保 j
的 uj
基本权利 n
， x
许多 m
国际 n
条约 n
承认 v
在 p
健康 a
环境 n
居住 v
的 uj
权利 n
。 x
"
874,我宣布，我曾经堕胎。,"我 r
宣布 v
， x
我 r
曾经 d
堕胎 v
。 x
"
875,Internet Explorer for Mac不受这种非标准行为影响。,"Internet eng
  x
Explorer eng
  x
for eng
  x
Mac eng
不受 v
这种 r
非标准 n
行为 v
影响 vn
。 x
"
876,澳大利亚在90多个地点都有外交代表。,"澳大利亚 ns
在 p
90 m
多个 m
地点 n
都 d
有 v
外交代表 n
。 x
"
877,就在同一天，另一个重要城市罗斯拉夫尔亦被收复。,"就 d
在 p
同一天 d
， x
另 r
一个 m
重要 a
城市 ns
罗 j
斯拉夫 nr
尔 nr
亦 d
被 p
收复 v
。 x
"
878,每天都有一朵不同的花开放。,"每天 r
都 d
有 v
一朵 m
不同 a
的 uj
花 n
开放 v
。 x
"
879,1991年，蒙古建立了全新的两级银行体系。,"1991 m
年 m
， x
蒙古 ns
建立 v
了 ul
全新 d
的 uj
两级 m
银行 n
体系 n
。 x
"
880,2000年和2003年，干旱限制了农业生产，2005年的洪灾也有相同的效果。,"2000 m
年 m
和 c
2003 m
年 m
， x
干旱 a
限制 v
了 ul
农业 n
生产 vn
， x
2005 m
年 m
的 uj
洪灾 n
也 d
有 v
相同 d
的 uj
效果 n
。 x
"
881,共有数十家企业和超过300名员工参与了这个项目（截至2014年8月）。,"共有 v
数十家 m
企业 n
和 c
超过 v
300 m
名 n
员工 n
参与 v
了 ul
这个 r
项目 n
（ x
截至 v
2014 m
年 m
8 m
月 m
） x
。 x
"
882,失业保险亦首次得以建立。,"失业 n
保险 n
亦 d
首次 m
得以 v
建立 v
。 x
"
883,其中，只有4和4T走完街的全长。,"其中 r
， x
只有 c
4 m
和 c
4 m
T eng
走 v
完街 v
的 uj
全长 n
。 x
"
884,3月17日风再次变得有利。,"3 m
月 m
17 m
日 m
风 n
再次 d
变得 v
有利 a
。 x
"
885,1980 : 与日本和美国首次达成合作协议。,"1980 m
  x
: x
  x
与 p
日本 ns
和 c
美国 ns
首次 m
达成 v
合作 vn
协议 n
。 x
"
886,LTP的物理和生物学机制仍未得到透彻的阐明，但已经发展了一些成功的模型。,"LTP eng
的 uj
物理 n
和 c
生物学 n
机制 n
仍 zg
未 d
得到 v
透彻 v
的 uj
阐明 v
， x
但 c
已经 d
发展 vn
了 ul
一些 m
成功 a
的 uj
模型 n
。 x
"
887,最初是为捷克斯洛伐克军队设计的，有些还卖给了南斯拉夫。,"最初 t
是 v
为 p
捷克斯洛伐克 ns
军队 n
设计 vn
的 uj
， x
有些 r
还 d
卖给 v
了 ul
南斯拉夫 nrt
。 x
"
888,第七章开始将体现出什么类型事件的审查。,"第七章 m
开始 v
将 d
体现 v
出 v
什么 r
类型 n
事件 n
的 uj
审查 vn
。 x
"
889,之后他们告诉警方，自己已经在公园内生活了4年。,"之后 f
他们 r
告诉 v
警方 n
， x
自己 r
已经 d
在 p
公园 n
内 n
生活 vn
了 ul
4 m
年 m
。 x
"
890,这一长度——他提议的名称是“标准”（standard）——将是994毫米。,"这 r
一 m
长度 ns
— x
— x
他 r
提议 v
的 uj
名称 n
是 v
“ x
标准 n
” x
（ x
standard eng
） x
— x
— x
将 d
是 v
994 m
毫米 q
。 x
"
891,据另一个估计，大约四分之一到三分之一的所有蛋白质被提议要求有金属执行其功能。,"据 p
另 r
一个 m
估计 v
， x
大约 d
四分之一 mq
到 v
三分之一 mq
的 uj
所有 b
蛋白质 n
被 p
提议 v
要求 v
有 v
金属 n
执行 v
其 r
功能 n
。 x
"
892,不是所有的HiPhone都是由制造商所标识的；一些只由软件版本w006或w009标识。,"不是 c
所有 b
的 uj
HiPhone eng
都 d
是 v
由 p
制造商 n
所 c
标识 n
的 uj
； x
一些 m
只 d
由 p
软件 n
版本 n
w006 eng
或 c
w009 eng
标识 n
。 x
"
893,因此，TRIPS是知识产权法律全球化中最重要的多边文书。,"因此 c
， x
TRIPS eng
是 v
知识产权 n
法律 n
全球化 n
中 f
最 d
重要 a
的 uj
多边 r
文书 n
。 x
"
894,此外，该报告还为G7国家和南非制定了2050年的经济预测。,"此外 c
， x
该 r
报告 n
还为 c
G7 eng
国家 n
和 c
南非 ns
制定 v
了 ul
2050 m
年 m
的 uj
经济 n
预测 vn
。 x
"
895,此外两兄弟同意任命彼此为继承人并在惩罚叛徒时互相给予支持。,"此外 c
两 m
兄弟 n
同意 d
任命 n
彼此 r
为 p
继承人 n
并 c
在 p
惩罚 vn
叛徒 n
时 n
互相 d
给予 v
支持 v
。 x
"
896,在1904年，这个联盟正式提议“一个定期讨论国际问题的国际国会”。,"在 p
1904 m
年 m
， x
这个 r
联盟 j
正式 ad
提议 v
“ x
一个 m
定期 vn
讨论 v
国际 n
问题 n
的 uj
国际 n
国会 n
” x
。 x
"
897,他带回来了一些英国产的组件，加入到最终的设计中。,"他 r
带 v
回来 v
了 ul
一些 m
英国 ns
产 v
的 uj
组件 n
， x
加入 v
到 v
最终 d
的 uj
设计 vn
中 f
。 x
"
898,BBP被欧洲化学局（ECB）列为有毒物质，因此其在欧洲的使用量迅速下降。,"BBP eng
被 p
欧洲 ns
化学 n
局 n
（ x
ECB eng
） x
列为 v
有毒 v
物质 n
， x
因此 c
其 r
在 p
欧洲 ns
的 uj
使用量 n
迅速 ad
下降 v
。 x
"
899,比如，当我们看一个苹果的时候，并且我们还可以分析出一个苹果的形式。,"比如 v
， x
当 t
我们 r
看 v
一个 m
苹果 n
的 uj
时候 n
， x
并且 c
我们 r
还 d
可以 c
分析 vn
出 v
一个 m
苹果 n
的 uj
形式 n
。 x
"
900,杰西·简就是其中一位接过圣经的女性。,"杰西 nrt
· x
简 a
就是 d
其中 r
一位 m
接过 c
圣经 n
的 uj
女性 n
。 x
"
901,在目前累积排放量之上，本世纪内也会有将大量增加的排放量，即使是在最雄心勃勃的低排放情景。,"在 p
目前 t
累积 v
排放量 n
之上 f
， x
本世纪内 t
也 d
会 v
有 v
将 d
大量 n
增加 v
的 uj
排放量 n
， x
即使 c
是 v
在 p
最 a
雄心勃勃 i
的 uj
低 a
排放 v
情景 n
。 x
"
902,"19 的幂是 {±1}，3 的幂为 {3, 9, 7, 1}。","19 m
  x
的 uj
幂 n
是 v
  x
{ x
± x
1 x
} x
， x
3 x
  x
的 uj
幂 n
为 p
  x
{ x
3 x
, x
  x
9 x
, x
  x
7 x
, x
  x
1 x
} x
。 x
"
903,没有为能源部门设置具体的目标，让许多国家感到失望。,"没有 v
为 p
能源 n
部门 n
设置 vn
具体 a
的 uj
目标 n
， x
让 v
许多 m
国家 n
感到 v
失望 v
。 x
"
904,Grippi 说：“我们震惊了。,"Grippi eng
  x
说 v
： x
“ x
我们 r
震惊 v
了 ul
。 x
"
905,他们强调从国民生产总值向个人幸福的转变。,"他们 r
强调 v
从 p
国民 n
生产总值 n
向 p
个人 n
幸福 a
的 uj
转变 v
。 x
"
906,然而，近年来Citaro只作为一个完整的产品销售。,"然而 c
， x
近年来 t
Citaro eng
只 c
作为 v
一个 m
完整 a
的 uj
产品销售 j
。 x
"
907,然而，一些欧洲影院从8月15日起就举行了一些预映会。,"然而 c
， x
一些 m
欧洲 ns
影院 n
从 p
8 m
月 m
15 m
日 m
起 v
就 d
举行 v
了 ul
一些 m
预映 v
会 v
。 x
"
908,特别是，P 自身在这种情况下是一个基。,"特别 d
是 v
， x
P x
  x
自身 r
在 p
这种 r
情况 n
下 f
是 v
一个 m
基 a
。 x
"
909,昨天，我看见一只鹿。,"昨天 t
， x
我 r
看见 v
一只 m
鹿 nr
。 x
"
910,明斯克的贡献占白俄罗斯预算的46％左右。,"明斯克 nr
的 uj
贡献 n
占 v
白俄罗斯 ns
预算 v
的 uj
46 m
％ x
左右 m
。 x
"
911,比利时的舰船随后轰炸了这座城市，至少有19名平民遇害。,"比利时 ns
的 uj
舰船 n
随后 d
轰炸 v
了 ul
这 r
座 q
城市 ns
， x
至少 d
有 v
19 m
名 n
平民 n
遇害 v
。 x
"
912,宪章还宣布，音乐是国家的基本原则。,"宪章 n
还 d
宣布 v
， x
音乐 n
是 v
国家 n
的 uj
基本 n
原则 n
。 x
"
913,这个项目由ARM和它的技术伙伴协作开发。,"这个 r
项目 n
由 c
ARM eng
和 c
它 r
的 uj
技术 n
伙伴 n
协作 vn
开发 v
。 x
"
914,Safari不支持MNG/JNG。,"Safari eng
不 c
支持 v
MNG eng
/ x
JNG eng
。 x
"
915,就拉斯维加斯来说，当地商会估计，每月有6000人搬到该城。,"就 d
拉斯维加斯 nrt
来说 u
， x
当地 s
商会 n
估计 v
， x
每月 r
有 v
6000 m
人 n
搬到 v
该城 r
。 x
"
916,— 你的电脑是不是有病毒？ 和正统英语比较：Is your computer infected by a virus?,"— x
  x
你 r
的 uj
电脑 n
是不是 l
有 v
病毒 n
？ x
  x
和 c
正统 n
英语 nz
比较 d
： x
Is eng
  x
your eng
  x
computer eng
  x
infected eng
  x
by eng
  x
a x
  x
virus eng
? x
"
917,那些从外部组织捐赠的所有代码，以及意图移动到Apache的现有外部项目，都必须进入Incubator。,"那些 r
从 p
外部 f
组织 v
捐赠 v
的 uj
所有 b
代码 n
， x
以及 c
意图 n
移动 vn
到 v
Apache eng
的 uj
现有 b
外部 f
项目 n
， x
都 d
必须 d
进入 v
Incubator eng
。 x
"
918,这在IOC 之内引起了一次激烈的辩论。,"这 r
在 p
IOC eng
  x
之内 f
引起 v
了 ul
一次 m
激烈 a
的 uj
辩论 n
。 x
"
919,更强的爱情可能会恶化为空洞式爱情。,"更 d
强 a
的 uj
爱情 n
可能 v
会 v
恶化 v
为 p
空洞 n
式 k
爱情 n
。 x
"
920,土耳其人比我们更会砍头。,"土耳其人 i
比 p
我们 r
更 d
会 v
砍头 v
。 x
"
921,部分原因是由于这些家庭只能在中国有一个孩子的事实。,"部分 n
原因 n
是 v
由于 c
这些 r
家庭 n
只能 v
在 p
中国 ns
有 v
一个 m
孩子 n
的 uj
事实 n
。 x
"
922,这两个法律系统都受到加拿大宪法的约束。,"这 r
两个 m
法律 n
系统 n
都 d
受到 v
加拿大 ns
宪法 n
的 uj
约束 vn
。 x
"
923,他再也没能找到那张照片的复印件。,"他 r
再也 d
没 v
能 v
找到 v
那 r
张 q
照片 n
的 uj
复印件 n
。 x
"
924,一些人意识到Web可能比Gopher更好。,"一些 m
人 n
意识 n
到 v
Web eng
可能 v
比 p
Gopher eng
更好 d
。 x
"
925,《亚洲人登记法令》（1906）要求所有印度人登记并携带通行证。,"《 x
亚洲 ns
人 n
登记 v
法令 n
》 x
（ x
1906 m
） x
要求 v
所有 b
印度人 nz
登记 v
并 c
携带 v
通行证 n
。 x
"
926,明年，当世界经济陷入衰退时，伊拉克可能享受10％的GDP增长。,"明年 t
， x
当 t
世界 n
经济 n
陷入 v
衰退 v
时 n
， x
伊拉克 nrt
可能 v
享受 v
10 m
％ x
的 uj
GDP eng
增长 v
。 x
"
927,该组织从周一到周五每天两次提供自我监测空气质量报告，这甚至在政府释放空气质量数据之前。,"该 r
组织 v
从 p
周一 t
到 v
周五 t
每天 r
两次 m
提供 v
自我 r
监测 vn
空气质量 n
报告 n
， x
这 r
甚至 d
在 p
政府 n
释放 v
空气质量 n
数据 n
之前 f
。 x
"
928,他唯一做的只是公开批评”。,"他 r
唯一 b
做 v
的 uj
只是 c
公开批评 n
” x
。 x
"
929,得利必须由所有澳大利亚人和所有地区分享”。,"得利 v
必须 d
由 p
所有 b
澳大利亚人 nz
和 c
所有 b
地区 n
分享 v
” x
。 x
"
930,如果你买了《刺客信条II》，那么你真的要购买《探索》。,"如果 c
你 r
买 v
了 ul
《 x
刺客 n
信条 n
II eng
》 x
， x
那么 r
你 r
真的 d
要 v
购买 v
《 x
探索 v
》 x
。 x
"
931,他承认美国的普通法很难界定。,"他 r
承认 v
美国 ns
的 uj
普通法 n
很 d
难 a
界定 n
。 x
"
932,穆斯林拥有自己的房子，用他们自己的方式管理自己。,"穆斯林 nz
拥有 v
自己 r
的 uj
房子 n
， x
用 p
他们 r
自己 r
的 uj
方式 n
管理 vn
自己 r
。 x
"
933,据说她拥有一个非洲省份。,"据说 v
她 r
拥有 v
一个 m
非洲 ns
省份 n
。 x
"
934,27日：罗马尼亚提议谈判。,"27 m
日 m
： x
罗马尼亚 ns
提议 v
谈判 vn
。 x
"
935,不过，他们的中国丈夫与父亲未被允许回归。,"不过 c
， x
他们 r
的 uj
中国 ns
丈夫 n
与 p
父亲 n
未 d
被 p
允许 v
回归 v
。 x
"
936,欧洲和美国的每一个城市的广播电台都播放着（它）……每个人都在听……这是我听过的最令人惊异的事情。,"欧洲 ns
和 c
美国 ns
的 uj
每 r
一个 m
城市 ns
的 uj
广播电台 nt
都 d
播放 v
着 uz
（ x
它 r
） x
… x
… x
每个 r
人 n
都 d
在 p
听 v
… x
… x
这 r
是 v
我 r
听 v
过 ug
的 uj
最 a
令人 nrt
惊异 a
的 uj
事情 n
。 x
"
937,经济计算成功的第五个条件是存在功能良好的金融市场。,"经济 n
计算 v
成功 a
的 uj
第五个 m
条件 n
是 v
存在 v
功能 n
良好 a
的 uj
金融市场 n
。 x
"
938,2009年7月，越来越多的经济学家认为，经济衰退可能已经结束。,"2009 m
年 m
7 m
月 m
， x
越来越 d
多 m
的 uj
经济学家 n
认为 v
， x
经济衰退 l
可能 v
已经 d
结束 v
。 x
"
939,CD Projekt认为保持独立性是他们最重要的战略之一。,"CD eng
  x
Projekt eng
认为 v
保持 v
独立性 n
是 v
他们 r
最 d
重要 a
的 uj
战略 n
之一 r
。 x
"
940,但是和在好莱坞一样，只有极少数人最后能获得成功。,"但是 c
和 c
在 p
好莱坞 ns
一样 r
， x
只有 c
极少数人 n
最后 f
能 v
获得成功 l
。 x
"
941,我生活在城市里，乡镇和农村，我写在那些地方观察到的事物。,"我 r
生活 vn
在 p
城市 ns
里 f
， x
乡镇 n
和 c
农村 n
， x
我 r
写 v
在 p
那些 r
地方 n
观察 v
到 v
的 uj
事物 n
。 x
"
942,将安孺子安置于骀，随后将其弑杀。,"将 d
安 v
孺子 n
安置 v
于 p
骀 x
， x
随后 d
将 d
其 r
弑杀 v
。 x
"
943,"会议还同意接纳另外20,000名来自欧盟以外的难民。","会议 n
还 d
同意 d
接纳 v
另外 c
20 m
, x
000 m
名 n
来自 v
欧盟 j
以外 c
的 uj
难民 n
。 x
"
944,某些情况下——特别是地下结构——事实上它们从未被真正废弃过。,"某些 r
情况 n
下 f
— x
— x
特别 d
是 v
地下 s
结构 n
— x
— x
事实上 l
它们 r
从未 d
被 p
真正 d
废弃 v
过 ug
。 x
"
945,我要把恐怖投在不信道的人的心中。,"我 r
要 v
把 p
恐怖 a
投在 v
不 d
信道 n
的 uj
人 n
的 uj
心中 s
。 x
"
946,截至10月28日，有66例报告病例。,"截至 v
10 m
月 m
28 m
日 m
， x
有 v
66 m
例 v
报告 n
病例 n
。 x
"
947,阿塞拜疆和以色列于2017年4月取消了国家间的双重征税。,"阿塞拜疆 ns
和 c
以色列 ns
于 p
2017 m
年 m
4 m
月 m
取消 v
了 ul
国家 n
间 f
的 uj
双重 n
征税 v
。 x
"
948,不要总是指责印度尼西亚。,"不要 df
总是 c
指责 v
印度尼西亚 ns
。 x
"
949,我会认真并诚实地回答你。,"我会 n
认真 ad
并 c
诚实 a
地 uv
回答 v
你 r
。 x
"
950,TrackIR是这项技术的商业版本。,"TrackIR eng
是 v
这项 r
技术 n
的 uj
商业 n
版本 n
。 x
"
951,好久不见。,"好久不见 l
。 x
"
952,威廉·布莱出身于1754年9月9日但是不清楚是在哪里。,"威廉 nrt
· x
布莱 nr
出身 v
于 p
1754 m
年 m
9 m
月 m
9 m
日 m
但是 c
不 d
清楚 a
是 v
在 p
哪里 r
。 x
"
953,1974年Chile Durlast是全白色。,"1974 m
年 m
Chile eng
  x
Durlast eng
是 v
全 n
白色 n
。 x
"
954,“独立给政治家和平民带来改变。,"“ x
独立 v
给 p
政治家 n
和 c
平民 n
带来 v
改变 v
。 x
"
955,真主应许他们这等信道而且行善者，将蒙赦宥和重大的报酬。,"真主 n
应许 v
他们 r
这 r
等 u
信道 n
而且 c
行善 v
者 k
， x
将 d
蒙 v
赦宥 v
和 c
重大 a
的 uj
报酬 n
。 x
"
956,这颗星出现在西南方时，看起来又小又暗。,"这 r
颗星 n
出现 v
在 p
西南方 f
时 n
， x
看起来 v
又 d
小 a
又 d
暗 v
。 x
"
957,至岔道，寇已为周尚文所败，东走。,"至 p
岔道 v
， x
寇 nr
已 d
为 p
周尚文 nr
所 u
败 v
， x
东 f
走 v
。 x
"
958,我将要在这里开一个店，中国的人会来这里购物，然后他们会感到开心。,"我 r
将要 d
在 p
这里 r
开 v
一个 m
店 n
， x
中国 ns
的 uj
人会 n
来 v
这里 r
购物 n
， x
然后 c
他们 r
会 v
感到 v
开心 v
。 x
"
959,在维多利亚州和塔斯马尼亚，这是三月的第二个星期一（尽管后者称之为八小时一天）。,"在 p
维多利亚州 ns
和 c
塔斯马尼亚 ns
， x
这 r
是 v
三月 m
的 uj
第二个 m
星期一 t
（ x
尽管 c
后者 n
称之为 v
八小时 j
一天 m
） x
。 x
"
960,之后，公司应国际电信联盟的要求披露了火焰病毒。,"之后 f
， x
公司 n
应 v
国际电信联盟 nt
的 uj
要求 v
披露 v
了 ul
火焰 n
病毒 n
。 x
"
961,外围七国中的五国后来加入了欧洲各共同体。,"外围 f
七国 ns
中 f
的 uj
五国 ns
后来 t
加入 v
了 ul
欧洲 ns
各 r
共同体 n
。 x
"
962,基本的现实很清楚：好的社会必须接受男性和女性如其所是。,"基本 n
的 uj
现实 n
很 zg
清楚 a
： x
好 a
的 uj
社会 n
必须 d
接受 v
男性 n
和 c
女性 n
如其 c
所 c
是 v
。 x
"
963,这是两个“硬性”限制。,"这 r
是 v
两个 m
“ x
硬性 n
” x
限制 v
。 x
"
964,（此阶段仅在专业心理健康人员的临床评估和判断的临终阶段前开始。,"（ x
此 zg
阶段 n
仅 d
在 p
专业 n
心理健康 n
人员 n
的 uj
临床 vn
评估 vn
和 c
判断 v
的 uj
临终 d
阶段 n
前 f
开始 v
。 x
"
965,吉本在当晚有着一些严重的问题。,"吉本 ns
在 p
当晚 t
有着 v
一些 m
严重 a
的 uj
问题 n
。 x
"
966,它基于BFS，但包含许多新特性。,"它 r
基于 p
BFS eng
， x
但 c
包含 v
许多 m
新 a
特性 n
。 x
"
967,他没有要求空中支援。,"他 r
没有 v
要求 v
空中 s
支援 v
。 x
"
968,他现在在CNN工作。,"他 r
现在 t
在 p
CNN eng
工作 vn
。 x
"
969,其余的4.9%则归类为“其他亚裔”。,"其余 r
的 uj
4.9 m
% x
则 d
归类 vn
为 p
“ x
其他 r
亚裔 n
” x
。 x
"
970,许多字经过ROT13转换后，会产生另一个字。,"许多 m
字 n
经过 p
ROT13 eng
转换 v
后 f
， x
会 v
产生 n
另 r
一个 m
字 n
。 x
"
971,大约20 - 30名叛军于1958年12月被杀。,"大约 d
20 m
  x
- x
  x
30 m
名 n
叛军 n
于 p
1958 m
年 m
12 m
月 m
被 p
杀 v
。 x
"
972,通过Lotus 6的持续成功，他开始销售这些汽车的套件。,"通过 p
Lotus eng
  x
6 m
的 uj
持续 vd
成功 a
， x
他 r
开始 v
销售 vn
这些 r
汽车 n
的 uj
套件 n
。 x
"
973,这是一个左派党在萨尔瓦多历史上的第一场胜利。,"这 r
是 v
一个 m
左派 m
党 n
在 p
萨尔瓦多 nrt
历史 n
上 f
的 uj
第一场 m
胜利 vn
。 x
"
974,在1963年他表明这种结构的确切数目是28种。,"在 p
1963 m
年 m
他 r
表明 v
这种 r
结构 n
的 uj
确切 ad
数目 n
是 v
28 m
种 m
。 x
"
975,Horowitz还指出三分之二的家庭没有热水，而且三分之一始终没有自来水。,"Horowitz eng
还 d
指出 v
三分之二 m
的 uj
家庭 n
没有 v
热水 n
， x
而且 c
三分之一 mq
始终 d
没有 v
自来水 l
。 x
"
976,美国国际开发署和千年挑战公司曾称他们不确定他们是否包含其中。,"美国 ns
国际 n
开发署 n
和 c
千年 m
挑战 vn
公司 n
曾 d
称 v
他们 r
不 d
确定 v
他们 r
是否 v
包含 v
其中 r
。 x
"
977,Space Expo是ESTEC的参观者中心。,"Space eng
  x
Expo eng
是 v
ESTEC eng
的 uj
参观者 n
中心 n
。 x
"
978,她显然是想和真正的男朋友一起过正常的生活。,"她 r
显然 ad
是 v
想 v
和 c
真正 d
的 uj
男朋友 n
一起 m
过 ug
正常 d
的 uj
生活 vn
。 x
"
979,这所医院接受并治疗了9003名患者。,"这 r
所 u
医院 n
接受 v
并 c
治疗 v
了 ul
9003 m
名 n
患者 n
。 x
"
980,当时我们告诉兰斯他有百分之20到50的可能，主要是为了给他希望。,"当时 t
我们 r
告诉 v
兰斯 nrt
他 r
有 v
百分之 i
20 m
到 v
50 m
的 uj
可能 v
， x
主要 b
是 v
为了 p
给 p
他 r
希望 v
。 x
"
981,6月15日，殖民者安全委员会得知英国人的计划。,"6 m
月 m
15 m
日 m
， x
殖民者 n
安全 an
委员会 n
得知 v
英国人 nz
的 uj
计划 n
。 x
"
982,仪式结束后，新神父们将他们的第一个祝福给他们的父母。,"仪式 n
结束 v
后 f
， x
新 a
神父 n
们 k
将 d
他们 r
的 uj
第一个 m
祝福 nr
给 p
他们 r
的 uj
父母 n
。 x
"
983,欧盟委员会还审查欧盟立法和其他欧盟提议，并进行调查。,"欧盟委员会 nt
还 d
审查 vn
欧盟 j
立法 d
和 c
其他 r
欧盟 j
提议 v
， x
并 c
进行 v
调查 vn
。 x
"
984,作为一个有竞争力的节日，它也被称为“克里斯奖”（The Chris Awards）。,"作为 v
一个 m
有 v
竞争力 n
的 uj
节日 t
， x
它 r
也 d
被 p
称为 v
“ x
克里斯 nrt
奖 n
” x
（ x
The eng
  x
Chris eng
  x
Awards eng
） x
。 x
"
985,随后，他选择在婚前于1485年10月30日加冕。,"随后 d
， x
他 r
选择 v
在 p
婚前 t
于 p
1485 m
年 m
10 m
月 m
30 m
日 m
加冕 v
。 x
"
986,芬兰在阿富汗和科索沃一直是个积极参与者。,"芬兰 ns
在 p
阿富汗 nr
和 c
科索沃 nr
一直 d
是 v
个 q
积极 ad
参与者 n
。 x
"
987,乌克兰政府必须确保终结这种暴力行为。,"乌克兰政府 nt
必须 d
确保 v
终结 v
这种 r
暴力行为 n
。 x
"
988,我不是指来自威斯康辛州的参议员。,"我 r
不是 c
指 n
来自 v
威斯康辛 nrt
州 n
的 uj
参议员 n
。 x
"
989,而它们有时被称为M1937或巴西合同型M1917。,"而 c
它们 r
有时 r
被 p
称为 v
M1937 eng
或 c
巴西 ns
合同 a
型 k
M1917 eng
。 x
"
990,事实上，它可能是唯一独特于新加坡的东西。,"事实上 l
， x
它 r
可能 v
是 v
唯一 b
独特 a
于 p
新加坡 ns
的 uj
东西 ns
。 x
"
991,但有时我坐在这议会厅里，我怀疑自己是否被允许成为马来西亚人。,"但 c
有时 r
我 r
坐在 v
这 r
议会厅 n
里 f
， x
我 r
怀疑 v
自己 r
是否 v
被 p
允许 v
成为 v
马来西亚人 nr
。 x
"
992,仅有极少数诺贝尔奖得主来自共产主义国家。,"仅 d
有 v
极少数 m
诺贝尔奖 nz
得主 v
来自 v
共产主义 n
国家 n
。 x
"
993,限制不限于玩具。,"限制 v
不 d
限于 v
玩具 n
。 x
"
994,"同时,第比利斯为职业体育开发了必要的体育基础设施。","同时 c
, x
第比利斯 ns
为 p
职业 n
体育 vn
开发 v
了 ul
必要 d
的 uj
体育 vn
基础设施 n
。 x
"
995,在1978年，他们有了一个女儿 Asako。,"在 p
1978 m
年 m
， x
他们 r
有 v
了 ul
一个 m
女儿 n
  x
Asako eng
。 x
"
996,(思高本): 你们应永远信赖上主，因为上主是永固的磐石。,"( x
思高本 n
) x
: x
  x
你们 r
应 v
永远 d
信赖 n
上主 v
， x
因为 c
上主 v
是 v
永固 ns
的 uj
磐石 n
。 x
"
997,一般地，不一定有 d∇2 = 0。,"一般 a
地 uv
， x
不 d
一定 d
有 v
  x
d x
∇ x
2 x
  x
= x
  x
0 x
。 x
"
998,所以 δ 将大于 δ，这是一个矛盾。,"所以 c
  x
δ x
  x
将 d
大于 d
  x
δ x
， x
这 r
是 v
一个 m
矛盾 an
。 x
"
999,区域贸易安排有自己的保障措施规定。,"区域 n
贸易 vn
安排 v
有 v
自己 r
的 uj
保障 v
措施 n
规定 n
。 x
"
1000,2003年和2005年，由于安全方面的考虑。,"2003 m
年 m
和 c
2005 m
年 m
， x
由于 c
安全 an
方面 n
的 uj
考虑 v
。 x
"
